Id,HomeTeam,HomeIsFromBigSix,HomeIsNewInPL,HomeRedCardsInLastMatch,AwayTeam,AwayIsFromBigSix,AwayIsNewInPL,AwayRedCardsInLastMatch,FullTimeResult
0,Arsenal,1,1,0,Aston Villa,0,1,0,A
1,Liverpool,1,1,0,Stoke,0,1,0,H
2,Norwich,0,1,0,Everton,0,1,0,D
3,Sunderland,0,1,0,Fulham,0,1,0,A
4,Swansea,0,1,0,Man United,1,1,0,A
5,West Brom,0,1,0,Southampton,0,1,0,A
6,West Ham,0,1,0,Cardiff,0,1,0,H
7,Chelsea,1,1,0,Hull,0,1,0,H
8,Crystal Palace,0,1,0,Tottenham,1,1,0,A
9,Man City,1,1,0,Newcastle,0,1,0,H
10,Chelsea,1,1,0,Aston Villa,0,1,0,H
11,Aston Villa,0,1,0,Liverpool,1,1,0,A
12,Everton,0,1,0,West Brom,0,1,0,D
13,Fulham,0,1,0,Arsenal,1,1,1,A
14,Hull,0,1,0,Norwich,0,1,0,H
15,Newcastle,0,1,1,West Ham,0,1,0,D
16,Southampton,0,1,0,Sunderland,0,1,0,D
17,Stoke,0,1,0,Crystal Palace,0,1,0,H
18,Cardiff,0,1,0,Man City,1,1,0,H
19,Tottenham,1,1,0,Swansea,0,1,0,H
20,Man United,1,1,0,Chelsea,1,1,0,D
21,Cardiff,0,1,0,Everton,0,1,0,D
22,Crystal Palace,0,1,0,Sunderland,0,1,0,H
23,Man City,1,1,0,Hull,0,1,1,H
24,Newcastle,0,1,0,Fulham,0,1,0,H
25,Norwich,0,1,0,Southampton,0,1,0,H
26,West Ham,0,1,0,Stoke,0,1,0,A
27,Arsenal,1,1,0,Tottenham,1,1,0,H
28,Liverpool,1,1,0,Man United,1,1,0,H
29,West Brom,0,1,0,Swansea,0,1,0,A
30,Aston Villa,0,1,0,Newcastle,0,1,0,A
31,Everton,0,1,0,Chelsea,1,1,0,H
32,Fulham,0,1,0,West Brom,0,1,0,D
33,Hull,0,1,0,Cardiff,0,1,0,D
34,Man United,1,1,0,Crystal Palace,0,1,0,H
35,Stoke,0,1,0,Man City,1,1,0,D
36,Sunderland,0,1,1,Arsenal,1,1,0,A
37,Tottenham,1,1,0,Norwich,0,1,0,H
38,Southampton,0,1,0,West Ham,0,1,0,D
39,Swansea,0,1,0,Liverpool,1,1,0,D
40,Chelsea,1,1,0,Fulham,0,1,0,H
41,Liverpool,1,1,0,Southampton,0,1,0,A
42,Newcastle,0,1,0,Hull,0,1,0,A
43,Norwich,0,1,0,Aston Villa,0,1,0,A
44,West Brom,0,1,0,Sunderland,0,1,0,H
45,West Ham,0,1,0,Everton,0,1,0,A
46,Arsenal,1,1,0,Stoke,0,1,0,H
47,Cardiff,0,1,0,Tottenham,1,1,0,A
48,Crystal Palace,0,1,1,Swansea,0,1,0,A
49,Man City,1,1,0,Man United,1,1,0,H
50,Aston Villa,0,1,0,Man City,1,1,0,H
51,Fulham,0,1,0,Cardiff,0,1,0,A
52,Hull,0,1,0,West Ham,0,1,1,H
53,Man United,1,1,0,West Brom,0,1,0,A
54,Southampton,0,1,0,Crystal Palace,0,1,0,H
55,Swansea,0,1,0,Arsenal,1,1,0,A
56,Tottenham,1,1,0,Chelsea,1,1,0,D
57,Stoke,0,1,0,Norwich,0,1,0,A
58,Sunderland,0,1,0,Liverpool,1,1,0,A
59,Everton,0,1,0,Newcastle,0,1,0,H
60,Cardiff,0,1,0,Newcastle,0,1,0,A
61,Fulham,0,1,0,Stoke,0,1,0,H
62,Hull,0,1,0,Aston Villa,0,1,0,D
63,Liverpool,1,1,0,Crystal Palace,0,1,0,H
64,Man City,1,1,0,Everton,0,1,0,H
65,Sunderland,0,1,0,Man United,1,1,0,A
66,Norwich,0,1,0,Chelsea,1,1,1,A
67,Southampton,0,1,0,Swansea,0,1,0,H
68,Tottenham,1,1,0,West Ham,0,1,0,A
69,West Brom,0,1,0,Arsenal,1,1,0,D
70,Arsenal,1,1,0,Norwich,0,1,0,H
